file_name,c_x,c_y,c_z,c_offset,p_l,p_wh,p_offset,count,scale_rand
img0.png,1.405922431,1.123634943,1.409289527,7.322955006,0.590710473,0.108766048,0.789774681,55,0.057528943
img1.png,1.065863901,1.360604305,1.064555651,8.356135435,0.639395695,0.083646662,18.59732343,243,0.250067129
img2.png,1.40914825,1.168551529,1.014044585,3.220203524,0.59085175,0.137060843,10.13753998,93,0.152691638
img3.png,1.034914955,1.236900133,1.263911413,1.110513499,0.736088587,0.108997331,14.0656398,95,0.215766363
img4.png,1.112360219,1.374944414,1.465661427,16.98824026,0.534338573,0.229965717,16.66945881,53,0.052018703
img5.png,1.374806682,1.035759596,1.155640651,6.045587582,0.625193318,0.041376367,5.373550609,254,0.263801964
img6.png,1.251943497,1.152579805,1.114536993,2.216404828,0.748056503,0.104431462,1.828608208,61,0.124271715
img7.png,1.317992889,1.474287792,1.151148346,11.08456427,0.525712208,0.103072681,13.05023452,77,0.14092891
img8.png,1.412696622,1.223617407,1.201965271,16.33497295,0.587303378,0.093785511,13.38748161,228,0.036883394
img9.png,1.206602635,1.200505625,1.054205407,3.903195492,0.793397365,0.16317127,4.492679069,287,0.26575922
img10.png,1.293600325,1.134258464,1.32993775,7.054301857,0.67006225,0.083750629,3.685999244,24,0.056977581
img11.png,1.335946495,1.464686906,1.054456564,7.352853244,0.535313094,0.202360007,18.25430841,30,0.123696166
img12.png,1.136589181,1.30631301,1.258841807,15.76234901,0.69368699,0.014244817,8.036355485,129,0.211711255
img13.png,1.093560638,1.482705823,1.303212366,10.26087919,0.517294177,0.128300652,8.586255923,240,0.094661294
img14.png,1.108555124,1.340766939,1.134469637,13.93743123,0.659233061,0.130969797,14.55295498,258,0.253840986
img15.png,1.030452384,1.092874846,1.046910901,19.81598579,0.907125154,0.100942524,10.36497186,157,0.141744387
img16.png,1.166979461,1.19948306,1.022428155,4.384525253,0.80051694,0.173027108,18.95824574,105,0.265934164
img17.png,1.371115597,1.360498905,1.013534902,16.89041962,0.628884403,0.140149074,5.809880967,153,0.100742119
img18.png,1.047065586,1.349259456,1.384192819,7.424143473,0.615807181,0.168713557,7.735605112,230,0.290950628
img19.png,1.005377964,1.337247023,1.280345372,4.786381706,0.662752977,0.06408301,18.29349242,171,0.156708187
img20.png,1.225901988,1.262371186,1.18257236,9.896321158,0.737628814,0.001055556,11.70552466,204,0.033152742
img21.png,1.406929703,1.01089679,1.069616635,12.46793898,0.593070297,0.075319763,0.279301578,52,0.073618728
img22.png,1.395792773,1.21612001,1.272185254,1.952482302,0.604207227,0.05277149,4.374722895,64,0.036717158
img23.png,1.376133654,1.001207678,1.319133229,7.091377399,0.623866346,0.022324529,0.47792857,258,0.053741103
img24.png,1.3801114,1.254344038,1.033890396,1.559296631,0.6198886,0.019534387,12.62361769,68,0.191629858
